mlb;sku;gtin;title;date_created;ultima_venda;status;parent_item_id;tipo;envio;stock_total;stock_source;stock_variations_count;sales_units;sold_value_cents;variation_id;variation_name
MLB1342797235;35945;7908274422944;Poltrona Costela Suede Caramelo Sisal - D'rossi;2019-10-16;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB1435764848;38651;7908274434022;Sofá Retrô Com Baú Grécia Namoradeira Calçadeira Suede Cinza Cinza;2020-02-13;;active;;Premium;Por conta do comprador;1;item;0;;;;
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670274;Cor do assento: Bege
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670361;Cor do assento: Vermelho
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670375;Cor do assento: Vinho
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670389;Cor do assento: Azul Pavão
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670395;Cor do assento: Caramelo sisal
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670399;Cor do assento: Azul royal
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670412;Cor do assento: Terra
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;0;variation;1;;;68622670357;Cor do assento: Roxo
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670288;Cor do assento: Azul-marinho
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670310;Cor do assento: Marrom
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670317;Cor do assento: Preto
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670323;Cor do assento: Grafite
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670335;Cor do assento: Cinza
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670347;Cor do assento: Marrom rato
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;501;variation;1;;;68622670369;Cor do assento: Rosê
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670383;Cor do assento: Rosa Bebê
MLB1721275083;43616;;Conjunto 02 Banquetas Pietra Suede Base Preto D'rossi;2020-11-18;;active;;Premium;Frete gratis;500;variation;1;;;68622670404;Cor do assento: Verde
