mlb;sku;gtin_antigo;gtin_novo;title
MLB4043371930;5440;-1;7899250187974;Quadro Decorativo Mdf Colorido 20x60 Lambreta - D'rossi Colorido
MLB4120393856;83631;7908748131440,7901017004100;7908748131440;Poltrona Sala Base Industrial Preto Elisa Sintético Pu Preto Preto Liso
MLB3507335983;57677;7908477253789;7908477245357;Escultura Elefante Em Poliresina Branco 21x26 Cm - D'rossi
MLB4148900848;36241;7890880287355,7908274469659;7908274469659;Quadro Decorativo Mdf Londres 24x24 Cm - D'rossi
MLB3489376115;57597;7908477253659;7908477244930;Adorno Coração Decorativo Prata Em Cerâmica 11x14 - D'rossi
MLB3489379041;57673;7908477253758;7908477245784;Escultura Mulher Em Porcelana Preto 25x10 Cm - D'rossi
MLB3501692615;62779;7908477298070,7908847610921;7908477298087;Pássaro Decorativo Em Cerâmica Rose 9x9x5 - D'rossi Rosa
MLB3489907593;39739;;7908274473656;Cadeira Allegra D'rossi Polipropileno Cor Bege Moderna Estrutura Resistente Liso Cinza-bege
MLB3514090951;77913;-1;7908670855759;Vaso Com Cacto Castelo De Fada Verde 14x6 Cm - D'rossi Verde
MLB3510810537;83743;7908748139774,7908940074187;7908748139774;Poltrona Amamentação Da Mamãe Com Balanço Luna Suede Bege Liso
MLB4251391458;60295;-1;7908477288590;Escultura Decorativa Elos Em Cerâmica Chumbo 12x15x8,5 Cinza
MLB4251497486;60405;7908477289023,7908575926899;7908477289023;Escultura Decorativa Mãos Em Poliresina Branco 17x10 Cm
MLB3542357885;82841;7908748134472,7908670853670;7908748134472;Sofá Namoradeira Stella Bouclê Grafite Pés Palito Castanho Liso
MLB3581551079;58095;7908477256698;7908477240475;Escultura Decorativa Metal Equilíbrio Preto D'rossi 17x14cm
MLB3595682545;63453;7908575904378;7908575904385;Placa Decorativa Lousa De Madeira Arebesco Flor P/ Pendurar
MLB3663500755;63455;7908575904415;7908575904422;Estátua Decorativa Pássaro Cerâmica Rosê 15x18x7cm D'rossi
MLB3663551169;62667;7908477296410;7908477296533;Sousplat Para Prato De Mesa Decorativo Cinza E Rose 33 Cm Liso
MLB1825459979;49548;7908439278065,7908940057524;7908439278065;Poltrona Stella Suede Bege Pés Palito Natural - D'rossi Bege Liso
MLB3752480882;49548;7908439278065,7908940057524;7908439278065;Poltrona Sala De Estar Pé Palito Natural Stella Suede Bege D'rossi Liso
MLB3617717277;67499;-1;7908575935761;Kit 2 Poltrona Decorativa Stella Corano Preto Pé Madeira Preto Liso
MLB3622771663;88843;7901017054570;7908748157365;Namoradeira E 2 Poltronas Pé Palito Nat Elisa Noz/lin Preto Cinza Liso
MLB3676552191;58145;7908477256803;7908477248884;Vaso Decorativo Em Cerâmica Preto 33x16 - D'rossi Liso
MLB3669278443;62671;7908477296434,7908477296557;7908477296557;Sousplat Para Prato De Mesa Branco Com Flores Em Rose 33 Cm
MLB2080322909;58581;7908477261555;7908670802517;Poltrona Giovana Corano Nozes Pés Palito Castanho - D'rossi Marrom Liso
MLB3829636666;42321;7908274491339;7908575998902;Poltrona Sala De Estar Giovana Suede Bege Pés Palito Castanho D'rossi Liso
MLB3360329493;39817;-1;7908439208536;D'rossi Stella Kit 2 Poltrona Pé Palito Corano Nozes Com Linho Bege Nozes/bege Liso
MLB3617779983;3326;;7890002175645;Cadeira Poltrona Decorativa Liz Corino Branco - D'rossi Liso
MLB2861101586;74214;7908575990845;7908575992375;Poltrona Sher Tipo Costela Corano Nozes Pés De Ferro Marrom Liso
MLB3860898708;74214;7908575990845;7908575992375;Poltrona Sher Orgânica Costela Corano Nozes Pés De Ferro Preto - D'rossi Interiores
MLB4440802230;24827;7908274441693;7890000231602;Puff Decorativo Londres Retangular Suede Grafite Com Strass
MLB1731800623;44412;7890880457512;7908477257602;Sousplast Redondo Natal 35cm Mesa Posta Bandeja Prata Prateado Natal
